코드,건물이름,위도,경도
E1,정문,36.96675474,127.8715756
E2,국원쉼터,36.96664792,127.8723183
E3,국원생활관,36.96688867,127.8732755
E4,시스템관/국원문화관,36.96814935,127.8739974
E5,테크노관,36.96797704,127.872923
E6,학생회관,36.96892353,127.8728721
E7,경영항공관,36.96920273,127.8738073
E8,대학본부,36.96991078,127.8724847
E8-1,대학본부 별관,36.9694395,127.8722435
E9,"항공,기계실습관",36.97023713,127.8741922
E10,역학시험동,36.97034512,127.874361
E11,창업생산동,36.97040492,127.8751293
E12,건축관,36.97133511,127.8717822
E13,건설환경관,36.97228011,127.8719334
E14,인문사회관,36.97295122,127.8725699
E15,학군단,36.97155156,127.8748168
E16,대원생활관,36.97337977,127.8737203
E17,스마트ICT관,36.97094547,127.8742231
W1,테니스장,36.9670533,127.8704898
W2,아레나K,36.96753868,127.8706525
W3,국원노천극장,36.96794525,127.8711175
W4,대학원,36.96880168,127.8710599
W5,종합강의관,36.96942261,127.8711681
W6,휴스퀘어관,36.96984334,127.8709314
W7,화학생명관,36.9704304,127.8713592
W9,공동실험관,36.97164496,127.8703848
W10,중원생활관,36.97347758,127.8717533
W11,예성생활관,36.97394374,127.8720787
W13,예성관리동,36.97406497,127.8727483
W15,동아리관,36.97101308,127.8693108
W17,인터넷창업센터,36.96949842,127.8694311
W16,IT관,36.96949856,127.8687967
W18,미래융합정보관,36.96910555,127.8695558
W19,대운동장,36.96783084,127.8689012
W20,중앙도서관/교육관,36.96793283,127.869739
W22,환경관,36.96770841,127.8677769
